	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	Area	Attrib	Course	Credits	Grd	Group	Source Code Key	Subj	Term	Title
0		Met	Credit	Credit	Courses	Courses																				
1		Met	Required	Used	Required	Used																				
2	Total Required :	NO	129.000	42.000		15																				
3	Required Institutional :	NO	32.000	20.000		8																				
4	Program GPA :	NO	2.00	.00																						
5	Overall GPA :	NO	2.00	.00																						
6	Other Course Info																									
7	Transfer :			22.000		7																				
8	In Progress :			20.000		8																				
9	Unused :			0.000		5																				
0	Program :	BS-Physics	Catalog Term :	Fall 2021																						
1	Campus :	Main Campus - Melbourne, FL	Evaluation Term :	Fall 2021																						
2	College :	College Engineering & Science	Expd Grad Date :																							
3	Degree :	Bachelor of Science	Request Number :	7																						
4	Level :	Undergraduate	Results as of :	Aug 08, 2021																						
5	Majors :	Physics	Minors :																							
6	Depts :	Aerospace, Physics & Space Sci	Concentrations :																							
0	Area :	PhysicsBach-Freshmen-Sem1 ( 16.000 credits ) - NOT MET	PhysicsBach-Freshmen-Sem1 ( 16.000 credits ) - NOT MET	PhysicsBach-Freshmen-Sem1 ( 16.000 credits ) - NOT MET	PhysicsBach-Freshmen-Sem1 ( 16.000 credits ) - NOT MET	PhysicsBach-Freshmen-Sem1 ( 16.000 credits ) - NOT MET	PhysicsBach-Freshmen-Sem1 ( 16.000 credits ) - NOT MET	PhysicsBach-Freshmen-Sem1 ( 16.000 credits ) - NOT MET	PhysicsBach-Freshmen-Sem1 ( 16.000 credits ) - NOT MET	PhysicsBach-Freshmen-Sem1 ( 16.000 credits ) - NOT MET	PhysicsBach-Freshmen-Sem1 ( 16.000 credits ) - NOT MET	PhysicsBach-Freshmen-Sem1 ( 16.000 credits ) - NOT MET	PhysicsBach-Freshmen-Sem1 ( 16.000 credits ) - NOT MET	PhysicsBach-Freshmen-Sem1 ( 16.000 credits ) - NOT MET	PhysicsBach-Freshmen-Sem1 ( 16.000 credits ) - NOT MET	PhysicsBach-Freshmen-Sem1 ( 16.000 credits ) - NOT MET										
1	Met	Cond	Rule	Subj	Attrib	Low	High	Term	Subj	Crse	Title	Attrib	Credit	Grd	Srce											
2	Yes			COM		1101		202008	COM	1101	Composition and Rhetoric		3.000	T	T											
3	Yes	AND		PHY		1050		202108	PHY	1050	Physics/Space Sci Seminar		1.000		R											
4	NO	AND		SPS		1020																				
5	Yes	AND	CHM1101/11	CHM 1101 and 1111	CHM 1101 and 1111	CHM 1101 and 1111	CHM 1101 and 1111	202108	CHM	1101	General Chemistry 1		3.000		R											
6								202108	CHM	1111	General Chemistry Lab 1		1.000		R											
